Rank,Player,AVG PICK,7 DAY +/-,AVG SALARY,7 DAY +/-,%ROST
1,Christian McCaffreyCarRB,1.4,0.1,72.1,1.5,99.9
2,Dalvin CookMinRB,2.7,0.0,67.3,1.5,99.9
3,Alvin KamaraNORB,4.0,0.4,65.6,2.6,99.9
4,Derrick HenryTenRB,4.4,0.2,65.1,2.6,99.9
5,Saquon BarkleyQNYGRB,7.3,-0.6,57.2,0.4,99.9
6,Davante AdamsGBWR,7.6,0.6,57.0,2.8,99.9
7,Travis KelceKCTE,8.0,-0.3,55.4,0.8,99.9
8,Ezekiel ElliottDalRB,8.6,0.1,55.4,1.3,99.8
9,Tyreek HillKCWR,11.5,0.3,51.9,2.1,99.9
10,Aaron JonesGBRB,12.0,0.5,51.0,2.3,99.9
11,Jonathan TaylorIndRB,12.4,-0.1,49.6,0.6,99.8
12,Nick ChubbCleRB,12.5,0.1,50.8,1.6,99.9
13,Austin EkelerLACRB,13.9,0.5,48.7,2.2,99.7
14,Stefon DiggsQBufWR,16.1,-0.5,45.2,1.0,99.9
15,Najee HarrisPitRB,17.8,0.8,46.4,2.3,99.5
16,DeAndre HopkinsQAriWR,18.4,-0.4,41.8,1.3,99.9
17,Antonio GibsonWshRB,18.7,0.7,43.9,1.5,99.6
18,DK MetcalfSeaWR,18.8,0.2,40.9,1.8,99.9
19,Patrick MahomesKCQB,19.5,0.2,33.7,2.3,99.9
20,Calvin RidleyAtlWR,20.1,-0.2,39.9,1.3,99.8
21,Darren WallerLVTE,25.2,0.5,33.3,1.9,99.9
22,A.J. BrownQTenWR,25.5,-0.6,33.9,0.6,99.8
23,Justin JeffersonQMinWR,25.9,-0.2,35.1,1.1,99.8
24,Joe MixonCinRB,26.0,0.5,34.9,0.5,99.3
25,George KittleSFTE,28.0,0.1,30.4,1.4,99.9
26,Clyde Edwards-HelaireQKCRB,29.0,0.2,33.6,0.6,99.0
27,Keenan AllenLACWR,29.6,0.0,29.8,0.9,99.7
28,Terry McLaurinWshWR,30.0,0.1,29.4,0.4,99.6
29,Josh AllenBufQB,30.2,0.4,23.7,2.0,99.9
30,James RobinsonJaxRB,33.6,25.2,27.0,9.9,97.4
31,Allen Robinson IIChiWR,34.0,0.3,26.5,0.8,99.5
32,Mike EvansTBWR,34.3,0.8,23.8,1.0,99.7
33,CeeDee LambDalWR,35.2,-0.4,27.5,0.3,99.1
34,David MontgomeryChiRB,35.7,-0.2,25.9,0.0,98.9
35,Miles SandersPhiRB,39.0,0.2,23.2,-0.5,98.5
36,Robert WoodsLARWR,39.2,0.6,21.5,0.4,98.9
37,Amari CooperDalWR,41.1,1.2,20.2,0.7,99.0
38,Kyler MurrayAriQB,41.2,-0.4,16.2,1.0,99.8
39,Chris CarsonSeaRB,41.4,3.4,24.1,2.4,98.1
40,Josh JacobsLVRB,42.8,1.2,20.5,0.5,98.4
41,Adam ThielenQMinWR,46.2,-0.1,18.9,0.1,98.6
42,Lamar JacksonBalQB,47.1,0.5,14.3,0.8,98.9
43,Chris GodwinTBWR,47.2,1.2,18.0,0.5,98.1
44,Tyler LockettQSeaWR,48.6,2.0,17.3,1.0,98.0
45,Mark AndrewsBalTE,48.7,1.8,11.8,1.0,99.5
46,D'Andre SwiftQDetRB,48.8,-4.0,18.7,-2.7,97.4
47,Cooper KuppLARWR,49.6,2.7,17.2,1.2,97.3
48,Aaron RodgersGBQB,50.1,0.8,12.5,0.9,98.4
49,Julio JonesQTenWR,51.0,-0.9,17.2,0.1,98.5
50,Kyle PittsAtlTE,52.6,0.0,13.2,1.0,98.2
51,Diontae JohnsonPitWR,56.7,0.6,13.5,-0.2,96.3
52,DJ MooreCarWR,57.3,5.0,13.2,0.8,96.5
53,Dak PrescottDalQB,57.5,1.5,10.3,0.7,98.3
54,Russell WilsonSeaQB,58.4,1.2,10.8,0.8,97.7
55,Gus EdwardsBalRB,60.7,99.5,15.1,14.4,88.2
56,Chase EdmondsAriRB,62.1,3.6,11.2,0.5,94.3
57,T.J. HockensonQDetTE,62.2,0.2,8.1,0.3,97.2
58,Kareem HuntCleRB,62.6,3.9,11.2,0.9,94.9
59,Brandon AiyukQSFWR,64.9,-1.4,11.7,-0.5,95.0
60,Tee HigginsCinWR,65.5,2.4,10.3,0.4,94.4
61,Myles GaskinMiaRB,68.4,8.8,10.4,2.1,93.8
62,Justin HerbertLACQB,68.5,0.1,8.7,0.4,96.2
63,Tom BradyTBQB,69.3,2.2,7.4,0.8,96.6
64,Odell Beckham Jr.QCleWR,70.3,2.9,9.9,0.8,94.7
65,Javonte WilliamsDenRB,70.7,5.0,9.5,0.6,90.3
66,JuJu Smith-SchusterPitWR,72.1,1.2,7.5,0.2,94.4
67,Logan ThomasWshTE,72.8,1.4,5.5,0.4,95.5
68,Mike DavisAtlRB,73.7,8.8,9.0,1.4,92.5
69,Jerry JeudyDenWR,75.6,3.5,7.3,0.7,92.8
70,Chase ClaypoolPitWR,76.2,7.5,6.7,0.6,93.3
71,Kenny GolladayQNYGWR,76.8,-0.4,7.1,-0.6,93.2
72,Robby AndersonCarWR,76.9,4.6,6.5,0.8,92.8
73,Courtland SuttonDenWR,81.8,2.0,6.1,-0.4,92.0
74,Damien HarrisNERB,82.7,11.8,7.4,2.4,88.5
75,Buccaneers D/STTBD/ST,82.9,-3.1,3.8,0.1,98.6
76,Ja'Marr ChaseCinWR,85.2,-6.8,5.2,-1.7,92.2
77,Raheem MostertSFRB,87.9,8.8,6.1,1.5,91.6
78,Brandin CooksHouWR,88.8,2.7,4.1,0.2,91.1
79,Darrell Henderson Jr.QLARRB,90.4,-18.8,6.0,-5.9,90.6
